"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"league of legends","10k+","5 January 2026 at 01:50:00 UTC+5:30","5 January 2026 at 09:30:00 UTC+5:30","league of legends","https://trends.google.com/trends/explore?q=league%20of%20legends&geo=US&hl=en-GB"
"crimson desert","5k+","9 January 2026 at 21:00:00 UTC+5:30","11 January 2026 at 00:10:00 UTC+5:30","crimson desert","https://trends.google.com/trends/explore?q=crimson%20desert&geo=US&hl=en-GB"
"nintendo switch online gamecube games","5k+","9 January 2026 at 17:10:00 UTC+5:30","10 January 2026 at 05:50:00 UTC+5:30","nintendo switch online gamecube games,fire emblem path of radiance","https://trends.google.com/trends/explore?q=nintendo%20switch%20online%20gamecube%20games&geo=US&hl=en-GB"
"dreadmyst","5k+","10 January 2026 at 01:30:00 UTC+5:30","10 January 2026 at 15:40:00 UTC+5:30","dreadmyst","https://trends.google.com/trends/explore?q=dreadmyst&geo=US&hl=en-GB"
"minecraft snapshot baby mobs","5k+","8 January 2026 at 04:30:00 UTC+5:30","8 January 2026 at 12:30:00 UTC+5:30","minecraft snapshot baby mobs","https://trends.google.com/trends/explore?q=minecraft%20snapshot%20baby%20mobs&geo=US&hl=en-GB"
"georgia lottery","5k+","7 January 2026 at 16:00:00 UTC+5:30","8 January 2026 at 00:20:00 UTC+5:30","georgia lottery,mega millions jackpot","https://trends.google.com/trends/explore?q=georgia%20lottery&geo=US&hl=en-GB"
"xbox game pass games","5k+","7 January 2026 at 23:20:00 UTC+5:30","8 January 2026 at 03:30:00 UTC+5:30","xbox game pass games,xbox game pass january 2026 games,game pass games","https://trends.google.com/trends/explore?q=xbox%20game%20pass%20games&geo=US&hl=en-GB"
"santos laguna vs necaxa","2k+","11 January 2026 at 05:40:00 UTC+5:30","11 January 2026 at 09:30:00 UTC+5:30","santos laguna vs necaxa","https://trends.google.com/trends/explore?q=santos%20laguna%20vs%20necaxa&geo=US&hl=en-GB"
"mini crossword answers","2k+","10 January 2026 at 22:40:00 UTC+5:30","11 January 2026 at 01:10:00 UTC+5:30","mini crossword answers,alphabetically first subway line,nytimes mini crossword answers","https://trends.google.com/trends/explore?q=mini%20crossword%20answers&geo=US&hl=en-GB"
"code violet","2k+","9 January 2026 at 11:00:00 UTC+5:30","11 January 2026 at 01:00:00 UTC+5:30","code violet","https://trends.google.com/trends/explore?q=code%20violet&geo=US&hl=en-GB"
"md lottery","2k+","9 January 2026 at 23:00:00 UTC+5:30","10 January 2026 at 01:30:00 UTC+5:30","md lottery","https://trends.google.com/trends/explore?q=md%20lottery&geo=US&hl=en-GB"
"maryland lottery","2k+","9 January 2026 at 23:00:00 UTC+5:30","10 January 2026 at 01:40:00 UTC+5:30","maryland lottery","https://trends.google.com/trends/explore?q=maryland%20lottery&geo=US&hl=en-GB"
"overwatch patch notes","2k+","9 January 2026 at 00:30:00 UTC+5:30","9 January 2026 at 05:40:00 UTC+5:30","overwatch patch notes","https://trends.google.com/trends/explore?q=overwatch%20patch%20notes&geo=US&hl=en-GB"
"arena breakout infinite","2k+","9 January 2026 at 04:20:00 UTC+5:30","9 January 2026 at 08:50:00 UTC+5:30","arena breakout infinite","https://trends.google.com/trends/explore?q=arena%20breakout%20infinite&geo=US&hl=en-GB"
"ps5 hyperpop collection","2k+","8 January 2026 at 12:10:00 UTC+5:30","8 January 2026 at 22:30:00 UTC+5:30","ps5 hyperpop collection,hyperpop collection ps5","https://trends.google.com/trends/explore?q=ps5%20hyperpop%20collection&geo=US&hl=en-GB"
"cyberpunk 2077","2k+","6 January 2026 at 21:20:00 UTC+5:30","7 January 2026 at 10:00:00 UTC+5:30","cyberpunk 2077","https://trends.google.com/trends/explore?q=cyberpunk%202077&geo=US&hl=en-GB"
"bloodborne shadows of the hunt","2k+","6 January 2026 at 23:40:00 UTC+5:30","7 January 2026 at 03:30:00 UTC+5:30","bloodborne shadows of the hunt","https://trends.google.com/trends/explore?q=bloodborne%20shadows%20of%20the%20hunt&geo=US&hl=en-GB"
"prizepicks","2k+","8 January 2026 at 04:40:00 UTC+5:30","8 January 2026 at 07:00:00 UTC+5:30","prizepicks,prize picks","https://trends.google.com/trends/explore?q=prizepicks&geo=US&hl=en-GB"
"is roblox down","2k+","6 January 2026 at 12:00:00 UTC+5:30","6 January 2026 at 13:40:00 UTC+5:30","is roblox down,roblox down,roblox outage","https://trends.google.com/trends/explore?q=is%20roblox%20down&geo=US&hl=en-GB"
"arc raiders update","2k+","6 January 2026 at 15:30:00 UTC+5:30","6 January 2026 at 21:50:00 UTC+5:30","arc raiders update,arc raiders patch notes","https://trends.google.com/trends/explore?q=arc%20raiders%20update&geo=US&hl=en-GB"
"give one's two cents nyt","2k+","5 January 2026 at 16:30:00 UTC+5:30","5 January 2026 at 21:30:00 UTC+5:30","give one's two cents nyt,nyt crossword","https://trends.google.com/trends/explore?q=give%20one%27s%20two%20cents%20nyt&geo=US&hl=en-GB"
"arena breakout","1k+","9 January 2026 at 04:30:00 UTC+5:30","9 January 2026 at 06:30:00 UTC+5:30","arena breakout","https://trends.google.com/trends/explore?q=arena%20breakout&geo=US&hl=en-GB"
"roma","1k+","6 January 2026 at 22:50:00 UTC+5:30","7 January 2026 at 00:50:00 UTC+5:30","roma","https://trends.google.com/trends/explore?q=roma&geo=US&hl=en-GB"
"strands hint today","1k+","4 January 2026 at 18:40:00 UTC+5:30","4 January 2026 at 20:00:00 UTC+5:30","strands hint today","https://trends.google.com/trends/explore?q=strands%20hint%20today&geo=US&hl=en-GB"
"loteria nacional","1k+","8 January 2026 at 07:10:00 UTC+5:30","8 January 2026 at 07:40:00 UTC+5:30","loteria nacional","https://trends.google.com/trends/explore?q=loteria%20nacional&geo=US&hl=en-GB"
"fanduel","500+","11 January 2026 at 02:50:00 UTC+5:30","11 January 2026 at 03:50:00 UTC+5:30","fanduel","https://trends.google.com/trends/explore?q=fanduel&geo=US&hl=en-GB"
"pips hint","500+","10 January 2026 at 19:30:00 UTC+5:30","10 January 2026 at 20:50:00 UTC+5:30","pips hint,pips nyt","https://trends.google.com/trends/explore?q=pips%20hint&geo=US&hl=en-GB"
"amazon prime free games","500+","7 January 2026 at 15:10:00 UTC+5:30","7 January 2026 at 17:50:00 UTC+5:30","amazon prime free games","https://trends.google.com/trends/explore?q=amazon%20prime%20free%20games&geo=US&hl=en-GB"
"triple threat","500+","8 January 2026 at 06:40:00 UTC+5:30","8 January 2026 at 07:50:00 UTC+5:30","triple threat","https://trends.google.com/trends/explore?q=triple%20threat&geo=US&hl=en-GB"
"loteria nacional","500+","9 January 2026 at 07:10:00 UTC+5:30","9 January 2026 at 07:40:00 UTC+5:30","loteria nacional","https://trends.google.com/trends/explore?q=loteria%20nacional&geo=US&hl=en-GB"
"ps5 jailbreak games","500+","5 January 2026 at 08:10:00 UTC+5:30","5 January 2026 at 09:10:00 UTC+5:30","ps5 jailbreak games","https://trends.google.com/trends/explore?q=ps5%20jailbreak%20games&geo=US&hl=en-GB"
"arc raiders update","200+","10 January 2026 at 16:50:00 UTC+5:30","10 January 2026 at 18:20:00 UTC+5:30","arc raiders update","https://trends.google.com/trends/explore?q=arc%20raiders%20update&geo=US&hl=en-GB"
"poppy playtime chapter 5","200+","11 January 2026 at 00:20:00 UTC+5:30","11 January 2026 at 01:10:00 UTC+5:30","poppy playtime chapter 5","https://trends.google.com/trends/explore?q=poppy%20playtime%20chapter%205&geo=US&hl=en-GB"
"mario tennis fever","200+","8 January 2026 at 19:20:00 UTC+5:30","8 January 2026 at 20:20:00 UTC+5:30","mario tennis fever","https://trends.google.com/trends/explore?q=mario%20tennis%20fever&geo=US&hl=en-GB"
"earthquake now","200+","6 January 2026 at 14:40:00 UTC+5:30","6 January 2026 at 15:40:00 UTC+5:30","earthquake now","https://trends.google.com/trends/explore?q=earthquake%20now&geo=US&hl=en-GB"
"pick 4","200+","7 January 2026 at 16:00:00 UTC+5:30","7 January 2026 at 17:20:00 UTC+5:30","pick 4","https://trends.google.com/trends/explore?q=pick%204&geo=US&hl=en-GB"
"casino","200+","5 January 2026 at 14:50:00 UTC+5:30","5 January 2026 at 15:50:00 UTC+5:30","casino","https://trends.google.com/trends/explore?q=casino&geo=US&hl=en-GB"
"cybersecurity tips","100+","10 January 2026 at 17:10:00 UTC+5:30","10 January 2026 at 18:20:00 UTC+5:30","cybersecurity tips","https://trends.google.com/trends/explore?q=cybersecurity%20tips&geo=US&hl=en-GB"
"tft patch notes","100+","9 January 2026 at 13:50:00 UTC+5:30","9 January 2026 at 14:30:00 UTC+5:30","tft patch notes","https://trends.google.com/trends/explore?q=tft%20patch%20notes&geo=US&hl=en-GB"
"marvel rivals","100+","8 January 2026 at 14:40:00 UTC+5:30","8 January 2026 at 15:40:00 UTC+5:30","marvel rivals","https://trends.google.com/trends/explore?q=marvel%20rivals&geo=US&hl=en-GB"
"upcoming nintendo games","100+","5 January 2026 at 14:00:00 UTC+5:30","5 January 2026 at 15:00:00 UTC+5:30","upcoming nintendo games","https://trends.google.com/trends/explore?q=upcoming%20nintendo%20games&geo=US&hl=en-GB"
"rockstar games","100+","7 January 2026 at 13:50:00 UTC+5:30","7 January 2026 at 14:20:00 UTC+5:30","rockstar games","https://trends.google.com/trends/explore?q=rockstar%20games&geo=US&hl=en-GB"
"cyberpunk 2077","100+","4 January 2026 at 14:30:00 UTC+5:30","4 January 2026 at 15:30:00 UTC+5:30","cyberpunk 2077","https://trends.google.com/trends/explore?q=cyberpunk%202077&geo=US&hl=en-GB"
"resident evil","100+","4 January 2026 at 15:20:00 UTC+5:30","4 January 2026 at 16:10:00 UTC+5:30","resident evil","https://trends.google.com/trends/explore?q=resident%20evil&geo=US&hl=en-GB"
"arcane","100+","6 January 2026 at 14:00:00 UTC+5:30","6 January 2026 at 14:30:00 UTC+5:30","arcane","https://trends.google.com/trends/explore?q=arcane&geo=US&hl=en-GB"
